,Merchnum,n_high,n_low,R,1/R,U,n,t,U_smoothed
0,991808369338,187.0,1.0,0.00586096256684492,170.62043795620437,170.62043795620437,188.0,57.666666666666664,170.62043795620437
1,308904389335,53.0,1.0,0.02067924528301887,48.357664233576635,48.357664233576635,54.0,13.0,48.35755718989748
2,3523000628102,1.0,34.0,37.264,0.02683555173894375,37.264,35.0,6.666666666666667,37.21790786623562
3,55158027,1.0,27.0,29.592000000000002,0.033792917004595836,29.592000000000002,28.0,4.333333333333333,29.221627022442345
4,8916500620062,31.0,1.0,0.03535483870967742,28.284671532846716,28.284671532846716,32.0,5.666666666666667,28.190608956458068
5,3910694900001,1.0,25.0,27.400000000000002,0.0364963503649635,27.400000000000002,26.0,3.6666666666666665,26.74199513651619
6,881145544,1.0,24.0,26.304000000000002,0.03801703163017031,26.304000000000002,25.0,3.3333333333333335,25.432398768862196
7,6844000608436,1.0,23.0,25.208000000000002,0.03966994604887337,25.208000000000002,24.0,3.0,24.05991446211747
8,92891948003,24.0,1.0,0.04566666666666667,21.8978102189781,21.8978102189781,25.0,3.3333333333333335,21.177981056990056
9,3433000017263,3.0,56.0,20.45866666666667,0.04887904066736183,20.45866666666667,59.0,14.666666666666666,20.45865835935524
10,467615916337,22.0,1.0,0.049818181818181824,20.072992700729923,20.072992700729923,23.0,2.6666666666666665,18.833836212166425
11,817004638227,1.0,19.0,20.824,0.04802151363810987,20.824,20.0,1.6666666666666667,17.67457886484074
12,8078200641472,4.0,60.0,16.44,0.0608272506082725,16.44,64.0,16.333333333333332,16.43999875499607
13,808998385332,36.0,2.0,0.060888888888888895,16.423357664233574,16.423357664233574,38.0,7.666666666666667,16.416140200282754
14,2376700063599,2.0,30.0,16.44,0.0608272506082725,16.44,32.0,5.666666666666667,16.38677135190386
15,993620816222,19.0,1.0,0.057684210526315796,17.33576642335766,17.33576642335766,20.0,1.6666666666666667,14.740517834135122
16,993620810220,79.0,5.0,0.06936708860759494,14.416058394160583,14.416058394160583,84.0,23.0,14.416058392783842
17,465614140337,18.0,1.0,0.060888888888888895,16.423357664233574,16.423357664233574,19.0,1.3333333333333333,13.20591373547494
18,8999000079657,18.0,1.0,0.060888888888888895,16.423357664233574,16.423357664233574,19.0,1.3333333333333333,13.20591373547494
19,8889817332,2.0,24.0,13.152000000000001,0.07603406326034062,13.152000000000001,26.0,3.6666666666666665,12.849118367384271
20,5600900060992,27.0,2.0,0.0811851851851852,12.317518248175181,12.317518248175181,29.0,4.666666666666667,12.212084708288131
21,600000201284,52.0,4.0,0.08430769230769232,11.861313868613138,11.861313868613138,56.0,13.666666666666666,11.86130126416195
22,5186264200136,17.0,1.0,0.06447058823529413,15.510948905109487,15.510948905109487,18.0,1.0,11.608353681141967
23,5000006000095,25.0,256.0,11.223040000000001,0.08910241788321167,11.223040000000001,281.0,88.66666666666667,11.223040000000001
24,5803301245621,2.0,21.0,11.508000000000001,0.08689607229753214,11.508000000000001,23.0,2.6666666666666665,10.825303970795998
25,5600000060302,16.0,1.0,0.0685,14.5985401459854,14.5985401459854,17.0,0.6666666666666666,9.985322007377498
26,7080606900600,16.0,1.0,0.0685,14.5985401459854,14.5985401459854,17.0,0.6666666666666666,9.985322007377498
27,881894855,16.0,1.0,0.0685,14.5985401459854,14.5985401459854,17.0,0.6666666666666666,9.985322007377498
28,8317600900099,3.0,24.0,8.768,0.11405109489051093,8.768,27.0,4.0,8.628283121014473
29,555400670006,15.0,1.0,0.07306666666666667,13.686131386861314,13.686131386861314,16.0,0.3333333333333333,8.390562181251846
30,1960400470068,3.0,23.0,8.402666666666667,0.11900983814662013,8.402666666666667,26.0,3.6666666666666665,8.218159444340298
31,6070095870009,4.0,26.0,7.1240000000000006,0.1403705783267827,7.1240000000000006,30.0,5.0,7.083012980939681
32,2586000448258,14.0,1.0,0.07828571428571429,12.773722627737225,12.773722627737225,15.0,0.0,6.8868613138686126
33,8100544800098,14.0,1.0,0.07828571428571429,12.773722627737225,12.773722627737225,15.0,0.0,6.8868613138686126
34,604901367333,14.0,1.0,0.07828571428571429,12.773722627737225,12.773722627737225,15.0,0.0,6.8868613138686126
35,993620559229,44.0,6.0,0.14945454545454548,6.690997566909974,6.690997566909974,50.0,11.666666666666666,6.690948767370857
36,8124906575841,5.0,30.0,6.5760000000000005,0.15206812652068125,6.5760000000000005,35.0,6.666666666666667,6.568912813317059
37,6000330043193,1.0,13.0,14.248000000000001,0.07018528916339135,14.248000000000001,14.0,-0.3333333333333333,6.530109904787255
38,5206789601613,1.0,13.0,14.248000000000001,0.07018528916339135,14.248000000000001,14.0,-0.3333333333333333,6.530109904787255
39,2644006060269,1.0,13.0,14.248000000000001,0.07018528916339135,14.248000000000001,14.0,-0.3333333333333333,6.530109904787255
